Frase,Personaje
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Frase,Personaje
I'm sleeping in the bath tub.,Marge Simpson
Frase,Personaje
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
Frase,Personaje
Ahh! Sweet liquor eases the pain.,Troy McClure
Frase,Personaje
"Oh, wow, windows. I don't think I could afford this place.",Otto
Frase,Personaje
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Frase,Personaje
They taste like...burning.,Ralph Wiggum
Frase,Personaje
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Frase,Personaje
Doughnuts? I told you I don't like ethnic food,Mr. Burns
Frase,Personaje
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
Frase,Personaje
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
